1, 2, 5
1, 3, 5
1, 4, 27
1, 5, 84
1, 6, 1
1, 7, 40
1, 8, 25
1, 9, 16
1, 10, 95
1, 11, 3
1, 12, 97
1, 13, 57
1, 14, 79
1, 15, 30
2, 1, 55
2, 3, 26
2, 4, 88
2, 5, 45
2, 6, 80
2, 7, 53
2, 8, 23
2, 9, 35
2, 10, 73
2, 11, 34
2, 12, 27
2, 13, 91
2, 14, 62
2, 15, 37
3, 1, 98
3, 2, 86
3, 4, 41
3, 5, 54
3, 6, 88
3, 7, 34
3, 8, 43
3, 9, 58
3, 10, 35
3, 11, 54
3, 12, 71
3, 13, 30
3, 14, 43
3, 15, 82
4, 1, 57
4, 2, 23
4, 3, 1
4, 5, 3
4, 6, 65
4, 7, 85
4, 8, 73
4, 9, 88
4, 10, 70
4, 11, 84
4, 12, 93
4, 13, 63
4, 14, 69
4, 15, 79
5, 1, 74
5, 2, 58
5, 3, 46
5, 4, 24
5, 6, 18
5, 7, 57
5, 8, 86
5, 9, 1
5, 10, 46
5, 11, 40
5, 12, 27
5, 13, 41
5, 14, 18
5, 15, 86
6, 1, 43
6, 2, 62
6, 3, 78
6, 4, 15
6, 5, 71
6, 7, 68
6, 8, 41
6, 9, 88
6, 10, 58
6, 11, 7
6, 12, 90
6, 13, 66
6, 14, 99
6, 15, 66
7, 1, 3
7, 2, 31
7, 3, 16
7, 4, 48
7, 5, 81
7, 6, 58
7, 8, 18
7, 9, 36
7, 10, 77
7, 11, 3
7, 12, 40
7, 13, 82
7, 14, 7
7, 15, 44
8, 1, 71
8, 2, 55
8, 3, 19
8, 4, 35
8, 5, 33
8, 6, 42
8, 7, 37
8, 9, 25
8, 10, 75
8, 11, 30
8, 12, 26
8, 13, 92
8, 14, 57
8, 15, 50
9, 1, 58
9, 2, 25
9, 3, 41
9, 4, 22
9, 5, 54
9, 6, 15
9, 7, 14
9, 8, 28
9, 10, 66
9, 11, 73
9, 12, 7
9, 13, 34
9, 14, 6
9, 15, 11
10, 1, 98
10, 2, 71
10, 3, 69
10, 4, 92
10, 5, 59
10, 6, 34
10, 7, 33
10, 8, 58
10, 9, 84
10, 11, 54
10, 12, 43
10, 13, 24
10, 14, 54
10, 15, 84
11, 1, 72
11, 2, 92
11, 3, 39
11, 4, 54
11, 5, 8
11, 6, 73
11, 7, 54
11, 8, 39
11, 9, 83
11, 10, 75
11, 12, 74
11, 13, 89
11, 14, 34
11, 15, 79
12, 1, 89
12, 2, 95
12, 3, 93
12, 4, 23
12, 5, 57
12, 6, 16
12, 7, 49
12, 8, 30
12, 9, 56
12, 10, 89
12, 11, 81
12, 13, 21
12, 14, 63
12, 15, 84
13, 1, 32
13, 2, 81
13, 3, 87
13, 4, 72
13, 5, 90
13, 6, 13
13, 7, 46
13, 8, 28
13, 9, 83
13, 10, 92
13, 11, 68
13, 12, 53
13, 14, 13
13, 15, 16
14, 1, 95
14, 2, 7
14, 3, 44
14, 4, 50
14, 5, 77
14, 6, 42
14, 7, 21
14, 8, 50
14, 9, 29
14, 10, 15
14, 11, 98
14, 12, 53
14, 13, 56
14, 15, 14
15, 1, 24
15, 2, 23
15, 3, 55
15, 4, 91
15, 5, 1
15, 6, 18
15, 7, 13
15, 8, 63
15, 9, 41
15, 10, 38
15, 11, 14
15, 12, 38
15, 13, 33
15, 14, 30
